model,target,train_size,n_seeds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Pearson_R_mean,Pearson_R_std,R2_mean,R2_std,n_test_mean
gtca_depth_2,gap,50,10,0.9829439678827637,0.027068650712103834,0.7597513981519626,0.018599308663308632,0.636139303445816,0.021129213851836377,0.3828763723373413,0.03411047155802205,9997.0
gtca_depth_2,gap,75,10,0.973015126071688,0.028636766311062364,0.7546042212376898,0.023646402844745697,0.636691689491272,0.0273921548535742,0.39522215723991394,0.035616279472755204,9997.0
gtca_depth_2,gap,100,10,0.9945924215253411,0.04432907015657298,0.7633890091918575,0.0351195509585627,0.6275200784206391,0.03277902448080652,0.3674652874469757,0.05636609891177357,9997.0
gtca_depth_2,gap,125,10,0.9513231362451574,0.02615402891523807,0.7303357414340814,0.01889887801117399,0.6616052031517029,0.01786649087516225,0.42194423675537107,0.03211885493244797,9997.0
gtca_depth_2,gap,150,10,0.9080833128244669,0.013774461972101323,0.7114672014856762,0.010693526798290996,0.7070958316326141,0.017288133378483114,0.47354700565338137,0.015960342824223272,9997.0
gtca_depth_2,gap,175,10,0.8928721007997416,0.023018366743799184,0.6921475332446043,0.023344618752070792,0.7160051882266998,0.018635718062438026,0.4908374071121216,0.0261099883915931,9997.0
gtca_depth_2,gap,200,10,0.8746805776077684,0.03163478433968206,0.6867152480152126,0.028697802275316566,0.731641411781311,0.018888743295181573,0.5110907793045044,0.035013130162522756,9997.0
gtca_depth_2,gap,225,10,0.8756162856113021,0.04257740066503673,0.6869902744472993,0.03726047421033706,0.7358241438865661,0.026656976380341615,0.5095788896083832,0.04796088820998313,9997.0
gtca_depth_2,gap,250,10,0.8783209526515613,0.04052249585821628,0.6908819448779193,0.03451681414335285,0.743516206741333,0.02162970361482657,0.5066490411758423,0.045768540490061224,9997.0
gtca_depth_2,gap,275,10,0.8785922962225733,0.02530346967765871,0.6850292949777308,0.027691658755683222,0.729478508234024,0.02016846368155458,0.5069202184677124,0.028871402049902982,9997.0
gtca_depth_2,gap,300,10,0.8719843677678877,0.04948273139007193,0.677815876311199,0.045741717316660074,0.7295705020427704,0.028054021043474417,0.5132649719715119,0.056720591928498494,9997.0
gtca_depth_2,gap,325,10,0.8242573358754097,0.02304072979887902,0.6403125834008235,0.0241809552354175,0.7661387979984283,0.011035103256131946,0.5660404443740845,0.024304587213301664,9997.0
gtca_depth_2,gap,350,10,0.8308471131564644,0.04701677859503781,0.6410303828068132,0.03949890857775207,0.7585298836231231,0.026359404673754524,0.5581138253211975,0.05166380446408367,9997.0
gtca_depth_2,gap,375,10,0.8100054565998167,0.03663138548299252,0.6303859974622238,0.03714480452971926,0.7809448003768921,0.010636445363540196,0.5804411828517914,0.039001040278671795,9997.0
gtca_depth_2,gap,400,10,0.8037772679132312,0.016352589409429154,0.6153888043232281,0.015921048036043817,0.772025054693222,0.010458575629540733,0.5874738574028016,0.016810475903309526,9997.0
gtca_depth_2,gap,425,10,0.8004811442533105,0.021892256735758,0.6185137405299677,0.017507098583919512,0.7849893748760224,0.016772918812978866,0.590727299451828,0.022326250950015933,9997.0
gtca_depth_2,gap,450,10,0.796489348388765,0.015428366007855807,0.6147472224879389,0.009776320767017599,0.7855775117874145,0.015335170747780444,0.5949348390102387,0.015807831390821914,9997.0
gtca_depth_2,gap,475,10,0.8031178557785577,0.02160096131649491,0.6249173289719542,0.022643458536232276,0.793114960193634,0.011612171848744452,0.588035774230957,0.0220150812594005,9997.0
gtca_depth_2,gap,500,10,0.8045645823969635,0.028807236041345427,0.6283382255140412,0.032114258793832486,0.7948140144348145,0.008714761814372876,0.5863424837589264,0.030398673312191676,9997.0
gtca_depth_2,gap,600,3,0.7769186960615059,0.021450468919332957,0.600161831798027,0.02057935498052571,0.809685746828715,0.004127639952221956,0.6145304044087728,0.02119499939947357,9997.0
gtca_depth_2,gap,700,3,0.7588692592032877,0.009218160205856835,0.5833191262403793,0.00796452808165668,0.823081374168396,0.006574523370092448,0.6323835452397665,0.008951640108327316,9997.0
gtca_depth_2,gap,800,3,0.7351539751970539,0.011607839523227147,0.5700161402772949,0.00786165519980882,0.8340889811515808,0.007883031580231759,0.6549777587254842,0.010862029351743692,9997.0
gtca_depth_2,gap,900,3,0.6784805393414228,0.015494610786072555,0.5157199506611647,0.011211567369739424,0.8508289655049642,0.008393483440145115,0.7060698469479879,0.013498477748054842,9997.0
gtca_depth_2,gap,1000,3,0.6798165047341939,0.02910098964156402,0.5215973081215342,0.02596295701962854,0.8597471117973328,0.0042255908463847145,0.7046534021695455,0.025386011890800007,9997.0
gtca_depth_2,gap,1500,3,0.6191916607684624,0.010283273201762996,0.46728375922589765,0.004371321302459701,0.8796822627385458,0.010083950599923439,0.7552355329195658,0.008090248053577642,9997.0
gtca_depth_2,gap,2000,3,0.6302253998624666,0.024460117769396383,0.47649033614146086,0.02463877980900603,0.8792478243509928,0.012786675578285668,0.7462266484896342,0.019467909489961823,9997.0
gtca_depth_2,gap,2500,3,0.566101473391443,0.005902424358515345,0.4265844575382622,0.004296777976733199,0.8984583218892416,0.00177858189548615,0.7954316735267639,0.0042596751910460775,9997.0
gtca_depth_2,gap,3000,3,0.5710684676275172,0.020331200285182698,0.4298857799951454,0.013933294158465956,0.903780976931254,0.0125550422158892,0.7916653553644816,0.014968708700433599,9997.0
gtca_depth_4,gap,50,10,1.0025039678244867,0.03593996351859644,0.7738409461919431,0.027987065226044078,0.6623991787433624,0.021320418643804084,0.35776702761650087,0.04608010417661633,9997.0
gtca_depth_4,gap,75,10,1.0154586917345882,0.039158312556296156,0.7769187342452156,0.03558627923669765,0.6769391894340515,0.015462918741175035,0.34094199538230896,0.05081440934415782,9997.0
gtca_depth_4,gap,100,10,0.997703068415001,0.037596967478226787,0.7579630294187472,0.0333933760038234,0.6818224489688873,0.019783799376215536,0.3638264358043671,0.04729549209558482,9997.0
gtca_depth_4,gap,125,10,0.9105594381987732,0.020320449474971632,0.6853237005172809,0.015166321305376514,0.7166055917739869,0.010665420295745319,0.47054443359375,0.02358717569346122,9997.0
gtca_depth_4,gap,150,10,0.8365622426720487,0.013177331071152197,0.650115735184616,0.010899661443561248,0.7542087495326996,0.008914648122564327,0.553201413154602,0.014129020310615263,9997.0
gtca_depth_4,gap,175,10,0.820275147123444,0.01966898280163957,0.6336423256150837,0.020764937791054202,0.7719733536243438,0.011308864021411612,0.570303225517273,0.020732546318436153,9997.0
gtca_depth_4,gap,200,10,0.7973287809001754,0.014124545451973584,0.6217417923792246,0.015134548301618206,0.7878596425056458,0.015262957433574245,0.5941030263900757,0.014455877557281628,9997.0
gtca_depth_4,gap,225,10,0.7978036455942903,0.02446891913058549,0.6251260307831119,0.022814323458057964,0.7877324819564819,0.015177359925373052,0.5933901906013489,0.0252410629986904,9997.0
gtca_depth_4,gap,250,10,0.8029577002421209,0.029812592115910048,0.6281827371303598,0.026353943895265183,0.7882418811321259,0.02280209122050556,0.5879574120044708,0.03126613103697619,9997.0
gtca_depth_4,gap,275,10,0.7987065335621935,0.025062634800267547,0.6208221036530681,0.02245067726431502,0.784712553024292,0.011817165848477808,0.5924531698226929,0.025485780425175027,9997.0
gtca_depth_4,gap,300,10,0.7878648560266189,0.022986495547697806,0.611144948798456,0.023547235517493062,0.7920002400875091,0.01426525386998674,0.6034897983074188,0.023087801004716326,9997.0
gtca_depth_4,gap,325,10,0.762665323567373,0.027954156353148945,0.5972160263025534,0.030197443242210385,0.8173444271087646,0.009160655258676811,0.6282841384410858,0.027230219639946367,9997.0
