,attentivefp,chemberta2,chemprop,gcn,gpr,gps,krovex,lgbm,molformer,painn,rf,selformer,svr,transformer,unimol_pt,unimol_scratch,xgb
attentivefp,0.9999999999999999,0.8669646758014414,0.8262619490994354,0.893139211748954,0.8646513035847119,0.8498799944707291,0.876085856069889,0.8276206687527938,0.8537073878923045,0.3597856176395565,0.8208983255809849,0.7343661627782238,0.7669362788171912,0.7271430028170174,0.8179947445904922,0.3508105841865731,0.8398646254995534
chemberta2,0.8669646758014415,0.9999999999999999,0.8444158398353747,0.8598623166964621,0.8685424034115452,0.8079100689440406,0.85583569288292,0.8306380127512915,0.8988810811789884,0.3699659820322147,0.8105592186368578,0.7740655823262846,0.7748297711929656,0.750539667247801,0.7917090417708561,0.26872263467071755,0.8148933728674399
chemprop,0.8262619490994354,0.8444158398353747,0.9999999999999999,0.8872139712003176,0.8847592657187282,0.8269284962844304,0.8154185801809438,0.8319193203035717,0.8544488046513334,0.3670292664674882,0.8353086710605584,0.7158696912539163,0.790251886242115,0.7078719529876764,0.7871819416039239,0.2559908266396737,0.8412257861390517
gcn,0.893139211748954,0.8598623166964621,0.8872139712003176,0.9999999999999999,0.8921947414157037,0.8523688098051111,0.8440114044484003,0.8435950536179052,0.8503375201685681,0.3963456704167855,0.8592884455457134,0.7220565185305062,0.8020250962499137,0.7113660432687742,0.8130315000845819,0.3142314515692301,0.8662020163698788
gpr,0.8646513035847119,0.8685424034115453,0.8847592657187281,0.8921947414157038,1.0,0.838035094512704,0.857504313024178,0.9296303589335835,0.8893651051411772,0.42646374406262705,0.9442883844728056,0.766293478082212,0.9172239238897358,0.7544140381425644,0.8399041933500697,0.34324484696347507,0.9313763729472497
gps,0.8498799944707293,0.8079100689440407,0.8269284962844304,0.8523688098051111,0.8380350945127039,0.9999999999999999,0.7955234346196265,0.7707093196262189,0.805188102367003,0.3594104343686453,0.7987952412220287,0.6812900731852168,0.7384468858196483,0.700595522297462,0.7303367306521017,0.2677058728270766,0.8005647223683313
krovex,0.876085856069889,0.8558356928829202,0.8154185801809438,0.8440114044484002,0.857504313024178,0.7955234346196265,0.9999999999999999,0.805251019953399,0.8156810727015702,0.3743807310689491,0.8162411801643831,0.6839041562723936,0.7525434535183916,0.6992546245202483,0.7935693334430622,0.31434237290794104,0.8170212650085172
lgbm,0.8276206687527938,0.8306380127512915,0.8319193203035716,0.8435950536179051,0.9296303589335834,0.7707093196262189,0.805251019953399,1.0,0.8415491022692136,0.38098967214575735,0.905439165812704,0.7093397774497461,0.8059242184753577,0.6871106941586042,0.7792253597995333,0.3323251686603924,0.8878099778826937
molformer,0.8537073878923046,0.8988810811789884,0.8544488046513334,0.8503375201685681,0.8893651051411772,0.805188102367003,0.8156810727015702,0.8415491022692136,1.0,0.39726260442739736,0.846473983065041,0.8371249773172867,0.8223207912018097,0.7833120917971876,0.8169680130838639,0.2960783283919236,0.8481632853748765
painn,0.35978561763955647,0.36996598203221465,0.3670292664674882,0.3963456704167855,0.426463744062627,0.3594104343686453,0.3743807310689491,0.38098967214575735,0.39726260442739736,0.9999999999999998,0.40379314868234273,0.41000354812766765,0.44461554504195683,0.45379076549567193,0.38790348975816263,0.28813592112688596,0.3539916090850202
rf,0.8208983255809849,0.8105592186368578,0.8353086710605585,0.8592884455457133,0.9442883844728056,0.7987952412220287,0.8162411801643831,0.905439165812704,0.8464739830650411,0.40379314868234273,1.0,0.742112024597405,0.8716531236377696,0.7302145800920601,0.8025327654118269,0.37004205720254435,0.9339477508260657
selformer,0.7343661627782236,0.7740655823262845,0.7158696912539163,0.7220565185305062,0.766293478082212,0.6812900731852168,0.6839041562723935,0.7093397774497461,0.8371249773172867,0.4100035481276676,0.7421120245974051,1.0,0.7403153807443267,0.7382529359723763,0.7127056212619401,0.3418202371322729,0.721330848830582
svr,0.7669362788171912,0.7748297711929656,0.7902518862421151,0.8020250962499137,0.917223923889736,0.7384468858196483,0.7525434535183916,0.8059242184753577,0.8223207912018097,0.44461554504195683,0.8716531236377696,0.7403153807443268,1.0,0.7297681500069573,0.7857533968646386,0.3429521219123339,0.8503378259855672
transformer,0.7271430028170173,0.7505396672478009,0.7078719529876764,0.7113660432687742,0.7544140381425644,0.700595522297462,0.6992546245202483,0.6871106941586043,0.7833120917971875,0.45379076549567193,0.7302145800920601,0.7382529359723763,0.7297681500069573,0.9999999999999999,0.6893978548317646,0.3479529017996309,0.7094989631250688
unimol_pt,0.8179947445904922,0.7917090417708561,0.7871819416039239,0.8130315000845818,0.8399041933500697,0.7303367306521018,0.7935693334430622,0.7792253597995333,0.816968013083864,0.38790348975816263,0.8025327654118269,0.71270562126194,0.7857533968646386,0.6893978548317646,1.0,0.30217815180181806,0.8055608854929892
unimol_scratch,0.35081058418657307,0.26872263467071755,0.2559908266396737,0.31423145156923016,0.34324484696347507,0.2677058728270766,0.31434237290794104,0.33232516866039247,0.29607832839192355,0.28813592112688596,0.37004205720254435,0.3418202371322729,0.3429521219123339,0.3479529017996309,0.30217815180181806,1.0,0.34430406174316674
xgb,0.8398646254995534,0.8148933728674399,0.8412257861390517,0.8662020163698788,0.9313763729472497,0.8005647223683314,0.8170212650085171,0.8878099778826936,0.8481632853748765,0.35399160908502025,0.9339477508260657,0.721330848830582,0.8503378259855671,0.7094989631250688,0.8055608854929892,0.3443040617431667,1.0
