,attentivefp,chemberta2,chemprop,gcn,gpr,gps,krovex,lgbm,molformer,painn,rf,selformer,svr,transformer,unimol_pt,unimol_scratch,xgb
attentivefp,1.0,0.8660207346200051,0.8316325848190055,0.6425040942482538,0.6764310404371038,0.8141029119772236,0.8854902269429575,0.5888334494842049,0.6929250185082704,0.8026818745095018,0.5167669668695801,0.7496793356908901,0.49512153433542144,0.7565173857843165,0.9214370259040795,0.6443103895884041,0.5840905246560961
chemberta2,0.866020734620005,1.0,0.7747514846590456,0.4946347933195136,0.6604161206051,0.7187852031609653,0.9085915949741116,0.4443222423025076,0.6480494301272226,0.7693515091771093,0.46621730377356113,0.6927077164787913,0.49963382965695585,0.7043217092266199,0.8225816597954124,0.4579573014871916,0.5513864370456028
chemprop,0.8316325848190055,0.7747514846590455,1.0,0.7632947099651016,0.6012445712163809,0.8856408235659092,0.7861976396264955,0.5280663113990403,0.6321110475583972,0.6556485019510893,0.44635985539108164,0.7334190227765072,0.387827789059289,0.6108360517749205,0.813127294715783,0.5321192466110497,0.561860970939239
gcn,0.6425040942482538,0.4946347933195136,0.7632947099651016,1.0,0.5849944956375829,0.8254644688928042,0.5141253822188652,0.617415231896649,0.32493527747230494,0.3588322088517045,0.4703893632762467,0.6025510386069118,0.42153667879519746,0.42875901788569126,0.5898178600705147,0.5501376823021901,0.52898648706962
gpr,0.6764310404371037,0.6604161206051001,0.6012445712163809,0.584994495637583,1.0,0.7018981300918835,0.6390713466430162,0.7663561697416474,0.43168855491772523,0.4638996889450011,0.805701264918581,0.5081630895333749,0.8569933793484111,0.6323819940202604,0.6581824009705294,0.6119159506814729,0.8257051190689342
gps,0.8141029119772237,0.7187852031609653,0.8856408235659092,0.8254644688928042,0.7018981300918835,1.0,0.7207023137769636,0.6473178548573243,0.5416667229601151,0.5582290037371822,0.5552150189797763,0.7085697541300976,0.49053966161230755,0.6037858039010533,0.7722101366366657,0.6368400143715592,0.6335952804448365
krovex,0.8854902269429575,0.9085915949741116,0.7861976396264955,0.5141253822188651,0.6390713466430163,0.7207023137769636,0.9999999999999998,0.4308525573527492,0.6569527845239617,0.7777452803773951,0.4528141578647934,0.7169702046148102,0.4819453789344304,0.6991755053707673,0.8637565979087175,0.49888527511779085,0.5514515846244007
lgbm,0.5888334494842049,0.4443222423025076,0.5280663113990401,0.6174152318966492,0.7663561697416473,0.6473178548573243,0.43085255735274913,0.9999999999999999,0.35229085880277944,0.3091154300242145,0.7901785841349025,0.5210195804615996,0.5384076793645164,0.44529655019874914,0.6071529691007415,0.6814589073385027,0.7563025542318492
molformer,0.6929250185082704,0.6480494301272225,0.6321110475583972,0.32493527747230494,0.4316885549177253,0.541666722960115,0.6569527845239617,0.35229085880277944,0.9999999999999999,0.6610992250980235,0.32225948810792765,0.6579333801873168,0.2692098945538901,0.6618175206597886,0.7180717068766599,0.45645607227884843,0.4010795480317042
painn,0.8026818745095017,0.7693515091771093,0.6556485019510891,0.3588322088517045,0.4638996889450011,0.5582290037371822,0.7777452803773951,0.30911543002421454,0.6610992250980235,1.0,0.2769119073589605,0.5904389805638623,0.33444499839896885,0.6697703297436421,0.7754158268841915,0.45699445648185816,0.36390813160857594
rf,0.5167669668695801,0.4662173037735612,0.4463598553910816,0.4703893632762467,0.805701264918581,0.5552150189797763,0.4528141578647934,0.7901785841349025,0.32225948810792765,0.2769119073589605,1.0,0.4215180135113519,0.616049064135852,0.49649357983539993,0.5388739468718443,0.4924313529319746,0.8616312549137237
selformer,0.7496793356908901,0.6927077164787913,0.7334190227765073,0.6025510386069118,0.5081630895333749,0.7085697541300976,0.7169702046148103,0.5210195804615996,0.6579333801873167,0.5904389805638622,0.4215180135113519,1.0,0.3140897191482539,0.606390475614202,0.7858544441327875,0.6374971374116551,0.5125136904445715
svr,0.49512153433542144,0.4996338296569559,0.38782778905928894,0.42153667879519746,0.8569933793484111,0.49053966161230755,0.4819453789344304,0.5384076793645163,0.26920989455389016,0.3344449983989688,0.616049064135852,0.3140897191482539,1.0,0.5017551817654148,0.4665214800962908,0.4548684490584567,0.6755640528101112
transformer,0.7565173857843165,0.7043217092266199,0.6108360517749205,0.42875901788569126,0.6323819940202604,0.6037858039010533,0.6991755053707673,0.44529655019874914,0.6618175206597886,0.6697703297436423,0.4964935798353999,0.606390475614202,0.5017551817654148,1.0,0.6966811251207297,0.451914465586206,0.5136861741582406
unimol_pt,0.9214370259040795,0.8225816597954125,0.813127294715783,0.5898178600705147,0.6581824009705295,0.7722101366366657,0.8637565979087176,0.6071529691007415,0.7180717068766599,0.7754158268841915,0.5388739468718442,0.7858544441327875,0.46652148009629074,0.6966811251207297,1.0,0.6579189159785429,0.6200796295280206
unimol_scratch,0.6443103895884041,0.4579573014871916,0.5321192466110497,0.5501376823021901,0.6119159506814729,0.6368400143715593,0.49888527511779085,0.6814589073385027,0.4564560722788485,0.45699445648185816,0.49243135293197465,0.6374971374116551,0.45486844905845664,0.45191446558620596,0.6579189159785429,1.0,0.5571375949726576
xgb,0.5840905246560961,0.5513864370456028,0.5618609709392391,0.5289864870696201,0.8257051190689341,0.6335952804448365,0.5514515846244008,0.7563025542318491,0.4010795480317042,0.36390813160857594,0.8616312549137238,0.5125136904445715,0.6755640528101112,0.5136861741582406,0.6200796295280208,0.5571375949726576,1.0
