,attentivefp,chemberta2,chemprop,gcn,gpr,gps,krovex,lgbm,molformer,painn,rf,selformer,svr,transformer,unimol_pt,unimol_scratch,xgb
attentivefp,0.9999999999999999,0.844213935035755,0.812007318791554,0.8494626001992559,0.6824578816741368,0.8230533320364256,0.836818025289767,0.6547213738794246,0.8308061558165597,0.4303090224709456,0.6440938836876096,0.7662009334375948,0.5542702261484681,0.7168023013973045,0.8422760001112078,0.4105930277616665,0.6115656393716443
chemberta2,0.844213935035755,0.9999999999999999,0.810882181442976,0.7749371022990055,0.7166022503379601,0.7785671842241358,0.8558724623832135,0.6932856489506819,0.8424748531755308,0.3917696098822879,0.7037150844455917,0.8000571291169657,0.597941623740458,0.7636592867512977,0.8398553761752534,0.35545839473114554,0.6672094816867334
chemprop,0.812007318791554,0.810882181442976,1.0,0.8389066499694604,0.6814419674471852,0.7711095535145827,0.7878004483313318,0.6624453190910315,0.7917158012022766,0.34215988907777745,0.6684912079582963,0.7481588606613094,0.5687626728745429,0.6740034024024395,0.8057645590555554,0.36224329328470867,0.6322292287787459
gcn,0.8494626001992559,0.7749371022990055,0.8389066499694603,1.0,0.6358222260660259,0.7980336323619194,0.7801085913952012,0.6027489683280642,0.7681211130905935,0.4075346577352942,0.5864320774308626,0.714233840058158,0.5094715834407584,0.6528872206922798,0.767433091587964,0.5027767877296498,0.5560194865813901
gpr,0.6824578816741368,0.7166022503379602,0.6814419674471853,0.6358222260660258,1.0,0.7079590928371429,0.6922584293701853,0.8902667093728801,0.7277281589665695,0.34069034446015517,0.8617247565653582,0.7097723893347788,0.8709062724033259,0.6979100734068521,0.7759516582375511,0.29793633510798967,0.8481413826713878
gps,0.8230533320364257,0.7785671842241358,0.7711095535145828,0.7980336323619194,0.7079590928371429,1.0,0.7746816919358533,0.6767114515793413,0.7909797830775002,0.415364516814891,0.6559636046251396,0.7236096149899588,0.566313754172615,0.6824428993530198,0.7940317922668212,0.4611807366642261,0.617039661536339
krovex,0.836818025289767,0.8558724623832134,0.7878004483313318,0.7801085913952012,0.6922584293701853,0.7746816919358535,0.9999999999999999,0.6684286961534588,0.8020868962223101,0.4372427641054129,0.6693127420431216,0.7509887336354576,0.5759019197250719,0.7373385992872892,0.8255053479701168,0.3818931973501176,0.6318581172048614
lgbm,0.6547213738794246,0.6932856489506818,0.6624453190910314,0.6027489683280642,0.89026670937288,0.6767114515793413,0.6684286961534587,1.0,0.7003805312686746,0.27799556839471323,0.8497012316625364,0.6743034721952792,0.7211120429808457,0.6517315861481534,0.7487236545485952,0.26160266816909916,0.8080269433397947
molformer,0.8308061558165597,0.842474853175531,0.7917158012022766,0.7681211130905935,0.7277281589665696,0.7909797830775002,0.8020868962223101,0.7003805312686746,0.9999999999999999,0.46412901108909355,0.6787421966871794,0.854445438524041,0.5975260393302577,0.7927840553142271,0.8394470961772245,0.39725250845652554,0.6509868241274959
painn,0.43030902247094555,0.3917696098822879,0.34215988907777745,0.4075346577352942,0.34069034446015517,0.41536451681489095,0.43724276410541285,0.27799556839471323,0.46412901108909355,0.9999999999999998,0.2308878484244976,0.38632723446796247,0.20994412397662485,0.39575771176487884,0.42053361522620925,0.4408664279290702,0.2388444074573197
rf,0.6440938836876096,0.7037150844455917,0.6684912079582964,0.5864320774308626,0.8617247565653581,0.6559636046251395,0.6693127420431216,0.8497012316625363,0.6787421966871794,0.2308878484244976,0.9999999999999998,0.6854551722233853,0.7817147295663215,0.6616194232274903,0.7487978570415547,0.22110528402386967,0.8768541004674293
selformer,0.7662009334375948,0.8000571291169657,0.7481588606613094,0.714233840058158,0.7097723893347788,0.7236096149899589,0.7509887336354576,0.6743034721952792,0.854445438524041,0.38632723446796247,0.6854551722233851,1.0,0.6070447118490239,0.7636669440582604,0.7935575927483821,0.3519126269234891,0.646149057130739
svr,0.554270226148468,0.5979416237404581,0.5687626728745429,0.5094715834407583,0.8709062724033257,0.566313754172615,0.5759019197250719,0.7211120429808459,0.5975260393302576,0.20994412397662485,0.7817147295663215,0.6070447118490239,1.0,0.5973492856139136,0.6549692383453906,0.18931722955688243,0.7817486442613734
transformer,0.7168023013973046,0.7636592867512978,0.6740034024024395,0.6528872206922797,0.6979100734068522,0.6824428993530198,0.7373385992872892,0.6517315861481534,0.7927840553142272,0.39575771176487884,0.6616194232274905,0.7636669440582603,0.5973492856139136,1.0,0.7454146329634636,0.36108408069550835,0.6311052156718628
unimol_pt,0.8422760001112077,0.8398553761752534,0.8057645590555554,0.767433091587964,0.7759516582375512,0.7940317922668211,0.8255053479701169,0.7487236545485952,0.8394470961772246,0.42053361522620925,0.7487978570415547,0.7935575927483822,0.6549692383453906,0.7454146329634634,0.9999999999999999,0.3789893282507592,0.7009499744302424
unimol_scratch,0.41059302776166645,0.35545839473114554,0.36224329328470867,0.5027767877296498,0.29793633510798967,0.4611807366642261,0.3818931973501176,0.2616026681690991,0.39725250845652554,0.4408664279290702,0.22110528402386967,0.3519126269234892,0.18931722955688243,0.3610840806955083,0.37898932825075926,0.9999999999999999,0.22046605991696794
xgb,0.6115656393716443,0.6672094816867334,0.6322292287787459,0.5560194865813901,0.8481413826713878,0.6170396615363389,0.6318581172048614,0.8080269433397949,0.6509868241274959,0.23884440745731966,0.8768541004674293,0.6461490571307391,0.7817486442613735,0.6311052156718628,0.7009499744302424,0.22046605991696797,1.0
