dataset,target,train_size,seed,n_models,best_single_rmse,best_single_model,all_ensemble_rmse,all_ens_improvement_pct,cross_fam_rmse,top3,top5,fam_GNN,fam_Transformer,fam_3D,fam_Tree,fam_Other
esol,measured_log_solubility_in_mols_per_litre,100,5,17,1.0359757,krovex,1.7690107,-70.757935,1.4135996,1.0588725,1.1376776,1.957957,1.389359,1.5852263,2.27654,2.2574036
esol,measured_log_solubility_in_mols_per_litre,200,9,17,0.89527774,krovex,1.4832195,-65.67144,1.240092,0.8228893,0.90309465,1.4311419,1.118313,1.4228058,2.2040277,2.1054902
esol,measured_log_solubility_in_mols_per_litre,200,8,17,0.9111422,chemberta2,1.4154212,-55.345814,1.26237,0.82946813,0.9139821,1.2824332,1.1403596,1.4011066,2.1492605,2.0858889
esol,measured_log_solubility_in_mols_per_litre,50,0,17,1.1360781,krovex,1.5620084,-37.491283,1.4147243,1.081533,1.1513394,1.5596359,1.3949736,1.6342754,1.9834416,1.88604
esol,measured_log_solubility_in_mols_per_litre,50,5,17,1.1575677,krovex,1.9082048,-64.84606,1.5550313,1.2480304,1.3335897,1.7426751,1.6657497,1.7037443,2.2622535,2.6280704
esol,measured_log_solubility_in_mols_per_litre,375,9,17,0.9108878,chemberta2,1.3130445,-44.14998,0.9353762,0.70835644,0.74646705,1.1949444,1.091913,1.1691271,2.1791403,1.6990511
esol,measured_log_solubility_in_mols_per_litre,50,8,17,1.2985212,krovex,1.8369821,-41.467247,1.624092,1.2896041,1.3607452,1.769261,1.6392248,1.7510881,2.2504442,2.207175
esol,measured_log_solubility_in_mols_per_litre,100,9,17,0.92548764,krovex,1.5863041,-71.40197,1.2598851,0.8964994,0.98365605,1.619221,1.2074838,1.6798149,1.9688288,2.2003417
esol,measured_log_solubility_in_mols_per_litre,100,1,17,0.99325544,krovex,1.5365233,-54.69569,1.2072531,0.9120338,0.96337026,1.4552284,1.2194248,1.5810812,2.1286,2.0069683
esol,measured_log_solubility_in_mols_per_litre,200,6,17,0.96815693,krovex,1.4390962,-48.642868,1.1674352,0.86537254,0.8604948,1.3444232,1.181535,1.3663656,2.1355717,2.0663478
esol,measured_log_solubility_in_mols_per_litre,200,3,17,0.8551715,krovex,1.4489416,-69.43287,1.2549034,0.80683136,0.86244226,1.2715142,1.1933588,1.3622676,2.19523,2.0597103
esol,measured_log_solubility_in_mols_per_litre,375,5,17,0.9059921,attentivefp,1.3525658,-49.291122,0.9677236,0.7212645,0.7429203,1.3270239,1.045685,1.28902,2.1927776,1.5971335
esol,measured_log_solubility_in_mols_per_litre,200,1,17,0.9123951,krovex,1.465961,-60.671726,1.2223424,0.8095523,0.88680327,1.4392183,1.098997,1.3593246,2.2322583,2.0184853
esol,measured_log_solubility_in_mols_per_litre,375,8,17,0.9006834,chemberta2,1.3240634,-47.00653,1.0131748,0.7377851,0.74914116,1.1318233,1.0811849,1.226881,2.193109,1.7185814
esol,measured_log_solubility_in_mols_per_litre,200,5,17,0.94429654,attentivefp,1.4720634,-55.88995,1.2974066,0.80648774,0.89569485,1.3850985,1.1084193,1.4217196,2.171735,2.1492133
esol,measured_log_solubility_in_mols_per_litre,100,7,17,1.0072919,krovex,1.5431739,-53.200268,1.1846983,0.94302523,1.0164533,1.4059755,1.2878251,1.5276676,2.2259834,1.9762664
esol,measured_log_solubility_in_mols_per_litre,100,2,17,1.0565348,chemberta2,1.5976456,-51.215626,1.1858541,0.97517306,1.0275059,1.4470828,1.2362301,1.5818276,2.4249504,1.9023871
esol,measured_log_solubility_in_mols_per_litre,375,7,17,0.9677166,krovex,1.3854884,-43.170887,1.1191579,0.75161994,0.7030514,1.3195208,1.0754467,1.2384106,2.2822213,1.8533264
esol,measured_log_solubility_in_mols_per_litre,50,2,17,1.1033627,chemberta2,1.6290046,-47.639996,1.2847078,1.0163705,1.0699681,1.4065782,1.2924023,1.6726832,2.3445249,2.0582454
esol,measured_log_solubility_in_mols_per_litre,375,2,17,0.89202946,chemberta2,1.3110747,-46.976616,0.9311014,0.7395804,0.7430334,1.115955,1.0612141,1.3122797,2.1782863,1.5813922
esol,measured_log_solubility_in_mols_per_litre,50,6,17,1.2034167,krovex,1.577667,-31.098978,1.3029219,1.1253725,1.1756569,1.728606,1.3752337,1.5858474,1.8837988,1.8518239
esol,measured_log_solubility_in_mols_per_litre,375,3,17,0.8933189,krovex,1.382171,-54.72314,1.0100056,0.71937096,0.7481621,1.334052,1.0686151,1.3447884,2.268565,1.7877628
esol,measured_log_solubility_in_mols_per_litre,375,6,17,0.8727388,attentivefp,1.3765376,-57.726185,1.0129428,0.7292953,0.7225212,1.1880984,1.1407412,1.2927126,2.2758524,1.7189575
