dataset,target,train_size,seed,n_models,best_single_rmse,best_single_model,all_ensemble_rmse,all_ens_improvement_pct,cross_fam_rmse,top3,top5,fam_GNN,fam_Transformer,fam_3D,fam_Tree,fam_Other
lipo,exp,75,7,3,1.1256993,molformer,1.130824,-0.45524487,,1.130824,,,1.130824,,,
lipo,exp,300,9,3,0.94040173,molformer,0.9005339,4.239445,,0.9005339,,,0.9005339,,,
lipo,exp,425,8,3,0.900591,chemberta2,0.86610156,3.8296466,,0.86610156,,,0.86610156,,,
lipo,exp,325,1,3,0.91563004,molformer,0.92580825,-1.1116071,,0.92580825,,,0.92580825,,,
lipo,exp,200,4,15,0.9687866,attentivefp,0.9799533,-1.1526473,0.9452545642852783,0.9096309,0.9045203924179077,0.9352381825447083,1.0110539,,1.1491658687591553,1.04579758644104
lipo,exp,1000,1,17,0.7255994,attentivefp,0.749229,-3.2565634,0.6692376136779785,0.6632918,0.639237642288208,0.6881107687950134,0.73925775,0.9296420216560364,0.9538713693618774,0.8077146410942078
lipo,exp,500,7,15,0.8780319,krovex,0.8385671,4.4946923,0.7981529235839844,0.7888541,0.7801973223686218,0.8204686045646667,0.86600673,,1.0606440305709839,0.926803708076477
lipo,exp,250,5,3,0.9939615,chemberta2,0.9656257,2.8507955,,0.9656257,,,0.9656257,,,
lipo,exp,500,1,15,0.83668363,attentivefp,0.84910387,-1.4844604,0.7961075901985168,0.76472694,0.7617934346199036,0.7943733930587769,0.8710751,,1.0519105195999146,0.9690954685211182
lipo,exp,500,6,17,0.8658842,attentivefp,0.8703991,-0.52142453,0.809711217880249,0.7930847,0.777895987033844,0.8063753247261047,0.87228143,0.9829345345497131,1.038333773612976,0.9340452551841736
lipo,exp,500,0,17,0.8455063,attentivefp,0.86494654,-2.2992418,0.7953576445579529,0.7847519,0.775117039680481,0.7964144349098206,0.8578101,1.0176372528076172,1.0846600532531738,0.9218642115592957
lipo,exp,200,3,15,0.9570917,attentivefp,0.9583256,-0.12892552,0.9232854843139648,0.9113575,0.9015505313873291,0.9201727509498596,0.9889906,,1.1185120344161987,0.9994615316390991
lipo,exp,325,6,3,0.96244377,molformer,0.9413323,2.1935296,,0.9413323,,,0.9413323,,,
lipo,exp,250,2,3,0.92057234,molformer,0.910662,1.0765417,,0.910662,,,0.910662,,,
lipo,exp,700,1,3,0.8279494,chemberta2,0.7697528,7.0290046,,0.7697528,,,0.7697528,,,
lipo,exp,50,1,15,1.0273864,krovex,1.1635997,-13.258235,1.1016052961349487,1.0631253,1.0859928131103516,1.1508264541625977,1.1473813,,1.2435003519058228,1.1948076486587524
