dataset,target,train_size,seed,n_models,best_single_rmse,best_single_model,all_ensemble_rmse,all_ens_improvement_pct,cross_fam_rmse,top3,top5,fam_GNN,fam_Transformer,fam_3D,fam_Tree,fam_Other
qm9,lumo,500,7,15,0.4093702,attentivefp,0.44409078,-8.481459,0.37979137897491455,0.33615216612815857,0.3460230529308319,0.3840959668159485,0.51736486,,0.761520504951477,0.5440945029258728
qm9,homo,50,5,15,0.45611122,xgb,0.55370426,-21.396765,0.5176798105239868,0.4611143469810486,0.48258844017982483,0.6008333563804626,0.60612404,,0.4611143469810486,0.5611175298690796
qm9,lumo,100,7,15,0.82192373,attentivefp,1.1359644,-38.208008,1.0196822881698608,0.8380796313285828,0.9089807271957397,1.0624306201934814,1.19147,,1.1020703315734863,1.3079400062561035
qm9,gap,3000,0,14,0.43372738,unimol_pt,0.52331716,-20.655775,0.5056751370429993,0.4514545798301697,0.4645388424396515,0.5256894826889038,0.5326527,,0.6159803867340088,0.7197753190994263
qm9,lumo,325,4,3,0.5905879,selformer,0.49714696,15.821686,,0.49714696407318115,,,0.49714696,,,
qm9,gap,500,5,15,0.5744143,unimol_pt,0.6017636,-4.761244,0.6168367862701416,0.5278555750846863,0.5425757169723511,0.5548838973045349,0.7261148,,0.7702672481536865,0.6761246919631958
qm9,homo,200,5,15,0.35926518,gcn,0.43092465,-19.946121,0.39108994603157043,0.37225934863090515,0.37133875489234924,0.3989517092704773,0.49651688,,0.45442354679107666,0.46572214365005493
qm9,gap,500,6,15,0.50578547,attentivefp,0.63287604,-25.127377,0.5951732993125916,0.5435370206832886,0.5813712477684021,0.6350113749504089,0.7066081,,0.7711067199707031,0.6898924112319946
qm9,lumo,1000,1,14,0.2720322,unimol_pt,0.32721117,-20.283987,0.2839583158493042,0.27285975217819214,0.2734431028366089,0.32176104187965393,0.3621604,,0.5991769433021545,0.5467444658279419
qm9,homo,100,7,15,0.45174235,attentivefp,0.5447105,-20.57991,0.49831894040107727,0.44794103503227234,0.469827800989151,0.5156539082527161,0.5878618,,0.5046078562736511,0.5910073518753052
qm9,homo,500,0,15,0.36701262,attentivefp,0.42443085,-15.644762,0.39363911747932434,0.3658307194709778,0.3757425844669342,0.3816511332988739,0.42083824,,0.47828537225723267,0.5296205282211304
qm9,homo,1000,0,14,0.32060176,attentivefp,0.40791708,-27.234827,0.37060976028442383,0.323195219039917,0.3448025584220886,0.3787553012371063,0.38237157,,0.492475301027298,0.5124684572219849
qm9,gap,100,3,15,0.7705323,krovex,0.9188518,-19.248957,0.8652684092521667,0.7585231065750122,0.7894949913024902,0.8169441819190979,0.93076104,,0.9916874766349792,1.130384087562561
qm9,lumo,50,1,15,0.73572826,krovex,1.1022124,-49.812435,0.8731188178062439,0.7512904405593872,0.8293428421020508,0.8540430665016174,1.1950369,,1.1698403358459473,1.3604753017425537
qm9,lumo,200,9,15,0.4202978,attentivefp,0.5088309,-21.064371,0.4363758862018585,0.38915467262268066,0.3925677239894867,0.41117390990257263,0.60699517,,0.8064292669296265,0.6562997698783875
qm9,homo,50,6,15,0.45611122,xgb,0.5305977,-16.330763,0.47288405895233154,0.44484710693359375,0.44192251563072205,0.5072715282440186,0.6225938,,0.4611525237560272,0.5616223812103271
qm9,homo,100,1,15,0.48053133,xgb,0.5642427,-17.42059,0.502943217754364,0.47724467515945435,0.49361345171928406,0.5828914642333984,0.60476613,,0.5026454329490662,0.582347571849823
qm9,lumo,500,5,15,0.4157183,unimol_pt,0.43898267,-5.596193,0.394888699054718,0.38016000390052795,0.361836314201355,0.40346047282218933,0.47886994,,0.7612451910972595,0.5726775527000427
qm9,gap,200,2,15,0.5403204,attentivefp,0.62918377,-16.446424,0.5869081616401672,0.5313668251037598,0.5472130179405212,0.5812693238258362,0.7517244,,0.8072052597999573,0.7294373512268066
qm9,gap,50,4,15,0.84161496,attentivefp,0.9920937,-17.879759,0.9250099062919617,0.7592237591743469,0.788913905620575,0.7738873362541199,1.0969226,,1.1176044940948486,1.182069182395935
qm9,lumo,50,2,15,0.7160066,krovex,1.0753145,-50.18221,0.8992359042167664,0.7409709692001343,0.8012025356292725,0.7819334268569946,1.1906161,,1.1657915115356445,1.3807460069656372
qm9,gap,100,0,15,0.78813374,krovex,0.9118686,-15.699727,0.8668971061706543,0.7746784090995789,0.7942095398902893,0.7956959009170532,0.94233584,,0.9928224086761475,1.131817102432251
qm9,homo,50,2,15,0.45611122,xgb,0.54733175,-19.999628,0.5118390917778015,0.4615956246852875,0.47635534405708313,0.559992253780365,0.6151569,,0.4615956246852875,0.5693474411964417
qm9,homo,500,6,15,0.34438768,gcn,0.44307935,-28.657145,0.4023899435997009,0.3577802777290344,0.37990841269493103,0.40151751041412354,0.4456205,,0.47857576608657837,0.5312346816062927
qm9,lumo,250,0,3,0.6247195,molformer,0.6138903,1.7334489,,0.6138902902603149,,,0.61389023,,,
qm9,gap,500,1,15,0.53340536,attentivefp,0.61209536,-14.752384,0.5866028070449829,0.5377318859100342,0.5322482585906982,0.5702184438705444,0.7022801,,0.7714633345603943,0.6806527376174927
qm9,lumo,100,2,15,0.67605233,krovex,1.05827,-56.536697,0.9296264052391052,0.7933899164199829,0.8600103259086609,0.8588283658027649,1.1150184,,1.1004788875579834,1.2969083786010742
qm9,gap,500,2,15,0.56103826,attentivefp,0.6147823,-9.579388,0.583067774772644,0.5196232795715332,0.5568584203720093,0.6110876202583313,0.69218427,,0.7722950577735901,0.6887565851211548
qm9,lumo,250,8,3,0.5676734,molformer,0.580546,-2.2676096,,0.5805460214614868,,,0.580546,,,
qm9,lumo,50,6,15,0.66027844,krovex,1.0967155,-66.09893,0.8670129776000977,0.7419760227203369,0.8147517442703247,0.8096091151237488,1.2239279,,1.1665388345718384,1.3739323616027832
qm9,lumo,200,5,15,0.45200077,gps,0.52692294,-16.575676,0.44352492690086365,0.38975799083709717,0.3830815851688385,0.4398825466632843,0.59184426,,0.8087374567985535,0.6470568180084229
qm9,gap,1000,0,14,0.45403582,attentivefp,0.52196383,-14.96094,0.5060173869132996,0.4356054663658142,0.4500577449798584,0.4671453535556793,0.5948169,,0.6855006217956543,0.6900728940963745
qm9,gap,100,4,15,0.856493,attentivefp,0.9296993,-8.547219,0.893801212310791,0.8089128732681274,0.8408836722373962,0.8468495607376099,0.93922406,,0.9913738369941711,1.1169774532318115
qm9,homo,200,8,15,0.4247388,attentivefp,0.4579869,-7.8278894,0.4116363227367401,0.4026406407356262,0.40566831827163696,0.4392668306827545,0.5125601,,0.454006165266037,0.48796287178993225
qm9,lumo,100,0,15,0.90109694,attentivefp,1.1177633,-24.044724,1.035232424736023,0.9248221516609192,0.9667600989341736,1.0172497034072876,1.1452647,,1.100386142730713,1.3303613662719727
qm9,homo,50,1,15,0.45611122,xgb,0.553508,-21.353725,0.528317928314209,0.4604269564151764,0.48670080304145813,0.5709203481674194,0.6268216,,0.4604269564151764,0.5728585720062256
qm9,lumo,500,0,15,0.4157183,unimol_pt,0.44873187,-7.941337,0.36939769983291626,0.3452249765396118,0.35513654351234436,0.3876117169857025,0.50152147,,0.7600370049476624,0.5854299664497375
qm9,lumo,200,3,15,0.46451345,attentivefp,0.50207955,-8.087189,0.41611215472221375,0.40111663937568665,0.3867138922214508,0.4142831861972809,0.61686295,,0.809375524520874,0.6424301862716675
qm9,lumo,300,9,3,0.6254633,chemberta2,0.6197505,0.91336733,,0.6197504997253418,,,0.6197505,,,
qm9,gap,50,8,15,0.8557283,attentivefp,0.94847775,-10.838653,0.8998572826385498,0.843727171421051,0.8638033270835876,0.7771897315979004,1.0169164,,1.117950439453125,1.1765848398208618
qm9,gap,200,5,15,0.5127753,attentivefp,0.6520878,-27.168339,0.5850849747657776,0.5319915413856506,0.5618747472763062,0.6125845313072205,0.7680093,,0.8076229691505432,0.7480218410491943
qm9,lumo,800,2,3,0.41974446,selformer,0.4407236,-4.9980774,,0.44072359800338745,,,0.4407236,,,
qm9,gap,100,7,15,0.77808553,krovex,0.9361315,-20.312153,0.8362671136856079,0.7821722626686096,0.8184147477149963,0.8895083069801331,0.94949156,,0.9921813607215881,1.0821040868759155
qm9,lumo,50,5,15,0.70388585,krovex,1.0769391,-52.999123,0.8754509687423706,0.7440324425697327,0.810169517993927,0.8390346765518188,1.108613,,1.167599081993103,1.389994502067566
qm9,homo,200,3,15,0.35224855,gcn,0.43807256,-24.36462,0.399377703666687,0.3726204037666321,0.37506231665611267,0.3935888111591339,0.50749105,,0.45448869466781616,0.4697721600532532
qm9,lumo,100,1,15,0.99963176,krovex,1.1459951,-14.64173,1.0473743677139282,0.9805370569229126,0.9969794154167175,1.0884380340576172,1.201854,,1.0991899967193604,1.3008511066436768
qm9,homo,500,3,15,0.35777533,attentivefp,0.43131796,-20.555532,0.3862268924713135,0.36026960611343384,0.3751268684864044,0.395810604095459,0.4225194,,0.4792022407054901,0.5203834176063538
qm9,lumo,200,8,15,0.5098528,attentivefp,0.5363535,-5.197715,0.4461452066898346,0.43496912717819214,0.4116169810295105,0.4731307625770569,0.6045343,,0.8096035122871399,0.6609593629837036
qm9,lumo,500,6,15,0.39331177,attentivefp,0.45883197,-16.658592,0.37278297543525696,0.31178954243659973,0.33234450221061707,0.36732298135757446,0.536166,,0.7627177834510803,0.5737313032150269
qm9,lumo,50,0,15,0.84133255,krovex,1.0793484,-28.290346,0.8317241072654724,0.7034981846809387,0.7791208624839783,0.7913047075271606,1.1940812,,1.1657837629318237,1.3789293766021729
qm9,lumo,200,0,15,0.5021112,gcn,0.49260294,1.8936614,0.4441496729850769,0.4134576618671417,0.3976747691631317,0.4444100558757782,0.60945374,,0.8062149286270142,0.6586183905601501
qm9,homo,50,7,15,0.45611122,xgb,0.55038726,-20.669533,0.4784127175807953,0.44410011172294617,0.4471529722213745,0.5655961036682129,0.6421247,,0.4593365788459778,0.556466817855835
qm9,gap,100,1,15,0.7854777,krovex,0.9369454,-19.283514,0.8636679649353027,0.8100307583808899,0.8360698819160461,0.88797527551651,0.93576276,,0.9918914437294006,1.1134247779846191
qm9,lumo,350,1,3,0.4846615,chemberta2,0.48931286,-0.9597171,,0.4893128573894501,,,0.48931286,,,
qm9,lumo,200,4,15,0.5157908,unimol_pt,0.53323823,-3.3826523,0.44679027795791626,0.42413273453712463,0.44435256719589233,0.46328258514404297,0.7078152,,0.8060555458068848,0.638428807258606
qm9,lumo,375,4,3,0.52075166,chemberta2,0.47615,8.564858,,0.4761500060558319,,,0.47615,,,
qm9,lumo,50,7,15,0.6683515,krovex,1.1111287,-66.24915,0.8794326782226562,0.7311834692955017,0.8133325576782227,0.8615589737892151,1.230453,,1.1668434143066406,1.3678653240203857
qm9,lumo,2000,2,3,0.32654473,selformer,0.34449628,-5.497425,,0.3444962501525879,,,0.34449628,,,
