model,target,train_size,n_seeds,RMSE_mean,RMSE_std,RMSE_CI95,MAE_mean,MAE_std,MAE_CI95,Pearson_R_mean,Pearson_R_std,Pearson_R_CI95,R2_mean,R2_std,R2_CI95,n_test_mean
attentivefp,pIC50,50,10,1.1725665355948167,0.0789497488840243,0.0489335613256833,0.9728186965720188,0.0777602088605146,0.048196276780608,0.5121790200471878,0.0833024621080532,0.0516314009324186,0.228775942325592,0.0992473399667107,0.0615141386175417,1363.0
attentivefp,pIC50,75,10,1.085062942267487,0.0624197558668212,0.0386881655080393,0.8790728965470811,0.0587251283061663,0.0363982116212898,0.5918268859386444,0.072143037484628,0.0447147178917685,0.3393196046352386,0.0705324862248724,0.0437164878789894,1338.0
attentivefp,pIC50,100,10,1.057651701528365,0.0573011207300594,0.0355156025815065,0.8538881874204393,0.0582770480271238,0.0361204885870397,0.6184420108795166,0.0527116882946978,0.03267104288752,0.3729921877384186,0.0641558882358208,0.0397642314987335,1313.0
attentivefp,pIC50,125,10,1.022435795993629,0.0480353867833672,0.0297726411824275,0.816426842333825,0.0475694242162901,0.0294838345912244,0.6490572810173034,0.0429935362376731,0.0266476698385025,0.4114819884300232,0.0524518621439248,0.0325100009708251,1288.0
attentivefp,pIC50,150,10,1.0115977261076874,0.0523756552312978,0.0324627674370243,0.8086929610976192,0.051598305167854,0.0319809608760316,0.6534968733787536,0.047386999862034,0.029370766805038,0.4211306929588317,0.0605335339955169,0.037519073080033,1263.0
attentivefp,pIC50,175,10,0.9938533256014992,0.0381330369994382,0.0236351011994687,0.7868430233027649,0.0406025721321517,0.0251657349325802,0.6712208807468414,0.0333359100193761,0.0206618110929886,0.4411945402622222,0.0422514107083818,0.0261876956699681,1238.0
attentivefp,pIC50,200,10,0.9661352795703636,0.0522245690598517,0.0323691232577784,0.7602488094655314,0.0518770640270351,0.0321537374069723,0.6919746160507202,0.043682600274052,0.0270747561530011,0.4673929691314697,0.0616516222438092,0.0382120713560086,1213.0
attentivefp,pIC50,225,10,0.9900459611610792,0.0410660461875759,0.0254529991282812,0.785885351706733,0.0404924906550875,0.0250975057262193,0.6695355296134948,0.0305689662460554,0.0189468415746511,0.4410916924476623,0.0431045587084873,0.026716482278832,1188.0
attentivefp,pIC50,250,10,0.9644269097953816,0.0309595905309191,0.0191889530147616,0.75615996719313,0.0418357467061836,0.0259300644522637,0.6980767190456391,0.0251342395544821,0.015578363072698,0.4665918469429016,0.0328794362942895,0.0203788857469828,1163.0
attentivefp,pIC50,275,10,0.9404076524425856,0.0528312921736809,0.0327451741397373,0.7347590842962749,0.0479453174323088,0.0297168156202708,0.7126556396484375,0.0379998148171152,0.0235525292353929,0.4917388796806335,0.0562339652339066,0.0348541727523661,1138.0
attentivefp,pIC50,300,10,0.932028951749312,0.0309937413645736,0.0192101199207566,0.7214803114870583,0.038694237943017,0.0239829371479907,0.7143833100795746,0.0230734717346883,0.0143010859449897,0.4998334050178528,0.0326841089837144,0.0202578206256149,1113.0
attentivefp,pIC50,325,10,0.8994258969234264,0.0404107261719253,0.0250468275745135,0.697182378035943,0.0296287254742569,0.0183640743066348,0.7370212078094482,0.0266760694864437,0.0165339991652237,0.5322288155555726,0.0400912286774224,0.0248488009758017,1088.0
attentivefp,pIC50,350,10,0.8982793636439979,0.0345850433234632,0.0214360319360376,0.6924757355048037,0.0298151024121673,0.0184795919295513,0.7393864810466766,0.0264230295913793,0.0163771634133942,0.5326955199241639,0.0381680632102712,0.0236568106698601,1063.0
attentivefp,pIC50,375,10,0.9002972477217895,0.0282264036422546,0.0174949062303002,0.6794779198158668,0.0203703602664128,0.0126256800992115,0.7411743700504303,0.017308400568135,0.0107278578161723,0.5292750895023346,0.0301354823663609,0.0186781654824461,1038.0
attentivefp,pIC50,400,10,0.8912873541570268,0.032873671115967,0.020375312452438,0.680123166718607,0.0260670080144506,0.0161564989538593,0.7419277787208557,0.0175630324998952,0.010885680322569,0.5342387199401856,0.035502481052565,0.0220046657317632,1013.0
attentivefp,pIC50,425,10,0.8715233168180317,0.0206284801128866,0.0127856644375449,0.672935539731219,0.021212406643035,0.0131475858505527,0.7500557780265809,0.0147204831944133,0.0091238500099051,0.5480332672595978,0.0218229255974,0.0135259894188502,988.0
attentivefp,pIC50,450,10,0.8822220939175096,0.0475237549623182,0.0294555284943523,0.670942763576786,0.0351824678934273,0.0218063195207993,0.7442001700401306,0.0276519464515177,0.0171388539746661,0.5328402101993561,0.0494588939629899,0.0306549400732567,963.0
attentivefp,pIC50,475,10,0.8687381830092284,0.019305565335606,0.0119657133636307,0.678922399845737,0.0317371105835015,0.019670864936114,0.7536320507526397,0.0080850003886297,0.0050111351578376,0.5431405067443847,0.0269232256433723,0.0166871881383749,938.0
attentivefp,pIC50,500,10,0.8592265749037585,0.0323333145735211,0.0200403959975883,0.6656559844499086,0.0279826815567991,0.0173438457166996,0.7550398528575897,0.0165344573152831,0.0102481628182609,0.5466958463191987,0.0328782651129,0.0203781598412369,913.0
chemberta2,pIC50,50,10,1.1797316696522622,0.1036993803133611,0.0642735418126963,0.9579019733875116,0.1079545759294884,0.0669109393798553,0.5103532302667878,0.0998474435227775,0.0618860866550926,0.2174117736388076,0.1320588927905923,0.0818509497536591,1363.0
chemberta2,pIC50,75,10,1.104669780677373,0.0954990903740848,0.0591909494510484,0.8873465821972033,0.0996628014258978,0.0617716442977871,0.570426006802091,0.10063746091397,0.0623757445071659,0.3127339360866957,0.1140391027792654,0.0706821681924853,1338.0
chemberta2,pIC50,100,10,1.0311666940833288,0.0629535905494239,0.0390190396722787,0.8158470842730436,0.0627333729733611,0.0388825474045314,0.6511580274829221,0.0498889715432676,0.03092150491921,0.4036245991148739,0.0673804831539663,0.0417628561353913,1313.0
chemberta2,pIC50,125,10,1.0137124182770918,0.0457237602996837,0.0283398802439784,0.7959938375982103,0.0391217107198684,0.0242478875200539,0.6720005417697372,0.0276627651712415,0.0171455594866221,0.4216157646647019,0.0497800057932566,0.0308539672476413,1288.0
chemberta2,pIC50,150,10,0.9871349730339748,0.0388378931435102,0.0240719755637229,0.7662976705101386,0.0335660835313177,0.0208044741137246,0.6897811388212061,0.0289549256602962,0.0179464488552086,0.4495335870769809,0.0421127639417202,0.0261017615136859,1263.0
chemberta2,pIC50,175,10,0.98154889203168,0.0480566577850597,0.029785825085866,0.763966749826019,0.0430238165728758,0.0266664377847031,0.6918253762572348,0.0393269922105649,0.0243751223061807,0.4546081572976577,0.0524086665022311,0.0324832280347271,1238.0
chemberta2,pIC50,200,10,0.9648525699293832,0.0390061196797506,0.0241762434511334,0.7484842437009724,0.0356019736721913,0.0220663318962887,0.7087200253189352,0.0262885771757459,0.0162938289428128,0.4699395533505972,0.0391747872958097,0.0242807847226478,1213.0
chemberta2,pIC50,225,10,0.9462728337227948,0.0319452785035561,0.0197998887496919,0.7325631354908418,0.0312070570065868,0.01934233432546,0.7174342496945708,0.0216106985968069,0.0133944497610896,0.4897031979982548,0.0311070529269615,0.0192803511547427,1188.0
