model,target,train_size,n_seeds,RMSE_mean,RMSE_std,RMSE_CI95,MAE_mean,MAE_std,MAE_CI95,Pearson_R_mean,Pearson_R_std,Pearson_R_CI95,R2_mean,R2_std,R2_CI95,n_test_mean
attentivefp,measured log solubility in mols per litre,50,10,1.3505654304514036,0.1265145175327424,0.0784145103662313,1.0602293373801104,0.1063509322294369,0.065916990716937,0.8011360585689544,0.033606658068576,0.0208296224724623,0.5728137135505676,0.080645703760375,0.0499847250484382,977.0
attentivefp,measured log solubility in mols per litre,75,10,1.1750758201739624,0.1236393508812114,0.0766324636130374,0.9160074342443938,0.0988055164257189,0.0612402935497123,0.8495610892772675,0.0276709332411896,0.0171506221088264,0.6741990983486176,0.0697411273249268,0.0432259985511766,952.0
attentivefp,measured log solubility in mols per litre,100,10,1.1428946749730615,0.069501587542954,0.0430775302561307,0.8921112923930107,0.0682137726150909,0.0422793342942754,0.8576343595981598,0.0148791648589822,0.0092222019245623,0.6918063819408417,0.0378361396469694,0.023451082313914,927.0
attentivefp,measured log solubility in mols per litre,125,10,1.0809682540809926,0.0812256346102106,0.0503441699131302,0.8298026485532587,0.0630249585773247,0.0390632740342538,0.8720249712467194,0.022490989156945,0.0139400595029549,0.724776315689087,0.0417084445139193,0.0258511617360409,902.0
attentivefp,measured log solubility in mols per litre,150,10,1.0696251573217066,0.0753494475209828,0.0467020714219202,0.8263263829320253,0.0689977864124041,0.0427652710803109,0.8790975451469422,0.0139038608046325,0.0086177022088657,0.7318326652050018,0.0392230794411672,0.0243107165044433,877.0
attentivefp,measured log solubility in mols per litre,175,10,1.0254596849613653,0.0564243028670992,0.0349721452396516,0.7829211572892594,0.0411416001463668,0.0254998279571014,0.8789603233337402,0.0147980325862964,0.0091719156209694,0.7545338273048401,0.0268808423497839,0.016660918700849,852.0
attentivefp,measured log solubility in mols per litre,200,10,0.9938275992547666,0.0692776447553226,0.0429387290783322,0.7522958733747285,0.0467857423505613,0.0289981035385164,0.8818503677845001,0.0188972041611812,0.0117126084854746,0.7695526897907257,0.0330028720411724,0.0204553920155302,827.0
attentivefp,measured log solubility in mols per litre,225,10,0.9323754831898756,0.0579672647536793,0.0359284829249187,0.6933184695418085,0.0363272711308221,0.0225158759185682,0.8963491141796112,0.0140781581080279,0.0087257327967416,0.7982465267181397,0.0248140386307717,0.0153799004840463,802.0
attentivefp,measured log solubility in mols per litre,250,10,0.9703341202540195,0.0557032397708307,0.0345252257023549,0.7220505389435175,0.0356967979091486,0.0221251045672586,0.8834189176559448,0.0137179091700706,0.0085024481916957,0.7779329061508179,0.0249224359693745,0.0154470858505742,777.0
attentivefp,measured log solubility in mols per litre,275,10,0.9408260820784876,0.0654128444751761,0.0405433010472959,0.7027344077761926,0.0444457494925738,0.027547760939122,0.891048526763916,0.0149138076601278,0.0092436737551673,0.7881495952606201,0.0302432253017389,0.0187449452456531,752.0
attentivefp,measured log solubility in mols per litre,300,10,0.935224520940316,0.0840534367958886,0.0520968598662426,0.7058959502691169,0.0483767071192284,0.0299841937183463,0.897123658657074,0.0203967120549306,0.0126420131069501,0.7868329882621765,0.0396005460047604,0.0245446727044195,727.0
attentivefp,measured log solubility in mols per litre,325,10,0.9219567007588064,0.0667282791802639,0.0413586159244325,0.6960535808989321,0.0579729317541017,0.0359319953681705,0.8970310688018799,0.0138875267706873,0.0086075782697392,0.7922680974006653,0.0287941109474051,0.0178467748635042,702.0
attentivefp,measured log solubility in mols per litre,350,10,0.8831320472820765,0.0410307921817057,0.025431148469063,0.6590407936084867,0.0269211886159189,0.0166859255756787,0.9012894749641418,0.0096432204081184,0.0059769299318598,0.8046560823917389,0.0181652499074581,0.0112589385388511,677.0
attentivefp,measured log solubility in mols per litre,375,10,0.917672511799816,0.0580909916485491,0.036005169648858,0.6898270278677552,0.0456001254710259,0.0282632505832684,0.8961464941501618,0.0136849708280361,0.0084820327957927,0.7913961172103882,0.0262559905041023,0.0162736315144763,652.0
chemberta2,measured log solubility in mols per litre,50,10,1.3198944113033126,0.1002195949697382,0.0621167485116495,1.0173493049271731,0.0960096888067467,0.0595074216383654,0.802449435075412,0.0252241902770884,0.0156341151081783,0.5935206749015062,0.0565391133296519,0.0350433055015849,977.0
chemberta2,measured log solubility in mols per litre,75,10,1.231593857294654,0.0965996405456664,0.0598730775144598,0.9428010548104202,0.0666368892656352,0.0413019718684951,0.8181175423816118,0.0373039404500945,0.0231212218342307,0.6438393488833273,0.0553661421275172,0.0343162904183928,952.0
