model,target,train_size,n_seeds,RMSE_mean,RMSE_std,RMSE_CI95,MAE_mean,MAE_std,MAE_CI95,Pearson_R_mean,Pearson_R_std,Pearson_R_CI95,R2_mean,R2_std,R2_CI95,n_test_mean
attentivefp,exp,50,10,1.165080836300698,0.043889932907452106,0.02720326225054686,0.9318167714290043,0.0423847725484238,0.02627035419479492,0.27788195572793484,0.1508982499011264,0.09352770426568413,0.061265355348587014,0.06918136190770674,0.042879052351109885,4050.0
attentivefp,exp,75,10,1.1270289584650623,0.05417218025519684,0.03357626518303022,0.895345088219708,0.04486829924272791,0.02780965998762554,0.3848312899470329,0.10038678907838272,0.062220376493806524,0.1209476292133331,0.08397931563459125,0.052050919094509415,4025.0
attentivefp,exp,100,10,1.0760627113147092,0.05038342595501463,0.03122797093869693,0.8535261142094221,0.03954394969543162,0.024509593948470375,0.4782922357320786,0.05517418130821837,0.03419731186993551,0.1994328916072845,0.07420727273262266,0.045994144153741374,4000.0
attentivefp,exp,125,10,1.0464247837706815,0.04527728851324219,0.028063154163771135,0.8274053539795769,0.0380813386875107,0.0236030582537609,0.520375645160675,0.06324513062747678,0.03919973808474935,0.24340046048164363,0.06669768172576773,0.04133965142565755,3975.0
attentivefp,exp,150,10,1.054142106149968,0.051233495915113454,0.03175484975859948,0.8341923901571764,0.04216257975912434,0.02613263767719989,0.5069113582372665,0.06720865367407386,0.04165635512036938,0.23231506347656244,0.07365669002780278,0.04565288945778609,3950.0
attentivefp,exp,175,10,1.0024992401214565,0.0384921505249874,0.023857682068613214,0.791716151806506,0.03619411242015327,0.022433343294631217,0.5734254717826843,0.049322689481003525,0.030570519660699076,0.3061588525772095,0.051751796478605866,0.032076095776063684,3925.0
attentivefp,exp,200,10,0.9890681504390635,0.03179370527099616,0.019705942686839967,0.7770718189117078,0.03189015332481329,0.01976572180992668,0.5895226299762726,0.0337389594383728,0.020911623711021506,0.3250008702278137,0.04306016628568249,0.026688967570116472,3900.0
attentivefp,exp,225,10,0.9881752624801164,0.042245158644410565,0.02618382060057177,0.7830421582888225,0.040469061497263446,0.025082984183752193,0.5777244836091995,0.053519450390240975,0.03317169902129558,0.3259621560573578,0.05951879626631781,0.036890132119445626,3875.0
attentivefp,exp,250,10,0.9268787223441496,0.02820128152916261,0.017479335383286856,0.725968769156324,0.015106455473630199,0.009363078107043466,0.6488957047462464,0.021628896778728365,0.013405729111102264,0.408340322971344,0.03415177132115681,0.02116748716679837,3850.0
attentivefp,exp,275,10,0.9390062106419748,0.059438527386951524,0.036840380952576385,0.7361365955813309,0.04571893762205559,0.028336891117416173,0.6491663813591003,0.041689173827201984,0.025839217640668877,0.39137758016586305,0.08002850797152454,0.049602183135251984,3825.0
attentivefp,exp,300,10,0.9153626270549777,0.033263434268055704,0.02061689015692497,0.7146055314336894,0.02981343177287674,0.018478556456591164,0.6586546003818512,0.03006270193809201,0.018633055705653285,0.4232610046863556,0.04136442952787467,0.025637939038635035,3800.0
attentivefp,exp,325,10,0.9005427138500084,0.03926722770865693,0.024338079884126795,0.7058994628193562,0.029690119703540636,0.01840212684418139,0.6733538985252381,0.031756158004293475,0.019682670649831886,0.4415478527545929,0.04899113249175571,0.03036501850970555,3775.0
attentivefp,exp,350,10,0.8791664425171589,0.03394262098081574,0.021037854442818443,0.6868275335098242,0.02765036243709065,0.01713787219235265,0.6929438710212708,0.022909069197098793,0.014199188196498465,0.46781944036483764,0.04299619603364847,0.026649318397127662,3750.0
attentivefp,exp,375,10,0.8748485286570604,0.025528712093116208,0.01582285968520662,0.680476347997929,0.022958986950256735,0.014230127540447267,0.6998607516288757,0.019735741225667076,0.012232339142619057,0.4733997046947479,0.032567513281395115,0.02018555386061058,3725.0
attentivefp,exp,400,10,0.8632171492016546,0.031025738423704163,0.019229951903471446,0.6698006217182335,0.02287437419633446,0.014177684012234494,0.7080585956573486,0.024335453715249138,0.015083270480223612,0.4873172402381897,0.036154158441376406,0.02240857956202512,3700.0
