model,target,train_size,n_seeds,RMSE_mean,RMSE_std,RMSE_CI95,MAE_mean,MAE_std,MAE_CI95,Pearson_R_mean,Pearson_R_std,Pearson_R_CI95,R2_mean,R2_std,R2_CI95,n_test_mean
attentivefp,homo,50,10,0.5302671601076893,0.0781578827971269,0.0484427576401409,0.3813479737983535,0.050672556469784,0.0314071758883716,0.2827629406005144,0.2244099831002543,0.1390907485502327,-0.1440637171268463,0.3271405531333152,0.2027638155300874,9997.0
attentivefp,homo,75,10,0.4355477183150661,0.0152229409167691,0.0094352765326997,0.3154984787176288,0.0130565532305687,0.008092535533566,0.562866872549057,0.0316033415533985,0.0195879540322727,0.2421209096908569,0.0534387968968591,0.0331217094681897,9997.0
attentivefp,homo,100,10,0.4573640122711742,0.0492505282583665,0.0305257936715331,0.3316138678798894,0.0323673215706399,0.0200614737527748,0.5099910587072373,0.1579171740397171,0.097878078518053,0.1565019726753234,0.1994251222850588,0.1236049713793641,9997.0
attentivefp,homo,125,10,0.4418349484439119,0.0337832205150735,0.0209390570105784,0.3238951863070105,0.0344214735112072,0.0213346503160553,0.5944266498088837,0.0621678482404026,0.0385320315435871,0.2168399691581726,0.1238103870641787,0.0767384729375311,9997.0
attentivefp,homo,150,10,0.4270202070246102,0.0207694995624445,0.0128730691979223,0.3137130291972046,0.0197131734495606,0.0122183514900717,0.629310691356659,0.0332482832748358,0.0206074994740368,0.2707578182220459,0.0712480812743218,0.0441600182857552,9997.0
attentivefp,homo,175,10,0.4012596756860622,0.0263511446787005,0.0163326086829146,0.291870396552267,0.0247945223665791,0.0153678041781781,0.6461400002241134,0.0594587755919176,0.036852930920036,0.354962956905365,0.0901732916678376,0.0558899852138699,9997.0
attentivefp,homo,200,10,0.4236018462889485,0.0234466176583173,0.0145323641845716,0.3120618225382893,0.0225394183571645,0.0139700762322338,0.6307402551174164,0.0360256402413752,0.0223289231563985,0.2819366693496704,0.0787008553078931,0.0487792954889537,9997.0
attentivefp,homo,225,10,0.4115751541388596,0.0314864174060938,0.0195154836949573,0.3013983870119548,0.0288444476667957,0.0178779738854144,0.6316864520311356,0.0667321041493786,0.0413609866648515,0.3204348444938659,0.1048758443948509,0.0650027218049419,9997.0
attentivefp,homo,250,10,0.4096153756496124,0.0248007412347496,0.015371658672604,0.3013556815972459,0.0238885581740113,0.0148062817540725,0.6480906367301941,0.030010869561135,0.0186009296655792,0.3282089352607727,0.0814186671033801,0.0504638126919342,9997.0
attentivefp,homo,275,10,0.4067435501525506,0.0277383707072158,0.0171924202833119,0.297672766018865,0.0244683637122924,0.0151656489498583,0.6535832524299622,0.0307604678765332,0.0190655355149285,0.3370105862617493,0.0936775369036884,0.058061938913186,9997.0
attentivefp,homo,300,10,0.4061702322927212,0.0332417108120373,0.0206034258193899,0.2996872881736901,0.0309946507608796,0.0192106835704267,0.6443058609962463,0.0469533868738566,0.0291020106905662,0.3376651763916015,0.1153701752626254,0.0715071754650113,9997.0
attentivefp,homo,325,10,0.4005583596474452,0.0249593462852238,0.0154699631013533,0.2926084264819546,0.0212384595956723,0.0131637336378935,0.6444131076335907,0.0590431519452408,0.036595324714943,0.3574634969234466,0.0807597311442477,0.0500553999531771,9997.0
attentivefp,homo,350,10,0.3883694840294872,0.0195877321452833,0.0121406021641727,0.2809360993087516,0.0186293820577267,0.0115466106259626,0.670446515083313,0.0322210512640167,0.0199708144774706,0.3966982901096344,0.061564074447677,0.038157808669787,9997.0
attentivefp,homo,375,10,0.3752285794269229,0.0245477494118969,0.01521485271624,0.2705226881040077,0.0237518171553819,0.0147215287926581,0.694245594739914,0.029578236005582,0.0183327806097374,0.4359563291072845,0.0774714610827081,0.0480173090537605,9997.0
attentivefp,homo,400,10,0.3896172065268262,0.01767743562186,0.0109565881121902,0.283418730137314,0.0159208847387029,0.0098678665953059,0.6850864112377166,0.0129769112953703,0.0080431729507179,0.3930801451206207,0.0561470302933221,0.0348002899179485,9997.0
attentivefp,homo,425,10,0.3751304215256368,0.0208661070739077,0.0129329471538819,0.2744897583020115,0.0164038302661434,0.0101671993343966,0.6978656351566315,0.0243054480449131,0.0150646727730711,0.4368507921695709,0.0630040506747215,0.0390503151819625,9997.0
attentivefp,homo,450,10,0.373004137218111,0.0266944251223099,0.0165453761062023,0.2708614263073901,0.0233782182453548,0.014489969789198,0.6960906565189362,0.0294854730796545,0.0182752855525804,0.4422034561634064,0.0812418685923378,0.0503542318394974,9997.0
attentivefp,homo,475,10,0.3748168164092296,0.0195506933954207,0.0121176453091675,0.2735947928366395,0.0170193341777566,0.0105486926112069,0.6968486726284027,0.0254815510100738,0.0157936289430971,0.4379803597927093,0.0591669610768108,0.0366720624097171,9997.0
attentivefp,homo,500,10,0.3722676770002354,0.0120062732105955,0.0074415652329258,0.2700050640440109,0.0086576236327937,0.0053660507216093,0.6947839140892029,0.0223935680498512,0.013879677275199,0.4464354455471039,0.0355922415601078,0.0220602998707257,9997.0
attentivefp,homo,600,3,0.3375508869161529,0.0143972031943338,0.0162919691140597,0.2386377593806782,0.0113489462169329,0.012842541620595,0.7477039496103922,0.0276729497072834,0.0313148905270312,0.5447435776392618,0.0388442876069489,0.0439564494164484,9997.0
attentivefp,homo,700,3,0.3411678419473039,0.012065428839759,0.0136533180335053,0.2432535054328215,0.0074934095842705,0.0084795911996283,0.7648418545722961,0.0224120455608898,0.025361617053833,0.5351108312606812,0.0325609387041106,0.0368461707827349,9997.0
attentivefp,homo,800,3,0.337780775542712,0.0093985630824772,0.0106354753343013,0.2377412515340259,0.0087006637566548,0.0098457279015848,0.7557177941004435,0.0165520313837573,0.0187303867590929,0.5444404284159342,0.0251526577406514,0.0284629116861032,9997.0
attentivefp,homo,900,3,0.3243723119247831,0.0163803948490311,0.0185361617360201,0.2260463315478609,0.0138265512851573,0.0156462156886415,0.7701766093571981,0.0208776585725449,0.0236252947219395,0.5793929696083069,0.0418998490610343,0.0474141427034099,9997.0
attentivefp,homo,1000,3,0.3319469965558933,0.0051718947447861,0.0058525498533204,0.234362552361639,0.0065013891274112,0.0073570143751221,0.7814071377118429,0.0042402185235551,0.0047982589597548,0.5601961811383566,0.0136768050276435,0.0154767618461535,9997.0
attentivefp,homo,1500,3,0.3329715195066979,0.0061291574750399,0.0069357946075149,0.2350879979994722,0.0090002404636946,0.0101847308587914,0.7934249440828959,0.0063719116497589,0.0072104968162319,0.5574488043785095,0.016219090251789,0.0183536284008472,9997.0
attentivefp,homo,2000,3,0.3119425816858096,0.0081733730754318,0.009249042324764,0.2204120990088564,0.0116871814343365,0.0132252908004771,0.8152134617169698,0.0137985356082293,0.0156145129657543,0.6114925940831503,0.0204991482191719,0.023196969935294,9997.0
attentivefp,homo,2500,3,0.305840644249255,0.0090955435208457,0.010292576420365,0.2144513432383032,0.0062763714208851,0.0071023828695889,0.8160620133082072,0.0084331482875857,0.0095430056505492,0.6264939308166504,0.0223277226249666,0.0252661966691149,9997.0
attentivefp,homo,3000,3,0.3140524349134509,0.0032308094864846,0.0036560051043757,0.2213176509401553,0.0042810909203996,0.0048445104308232,0.8212513327598572,0.0075308085242726,0.0085219120842605,0.6063718398412069,0.0080742568027844,0.0091368817036437,9997.0
attentivefp_mtl,homo,50,10,0.4637625989310534,0.0280961580712134,0.0174141791890109,0.3363034388679535,0.022676809903995,0.0140552323952045,0.5360883891582489,0.0602969452424281,0.0373724338516392,0.1388576865196227,0.1030587238051764,0.0638764587950162,9997.0
attentivefp_mtl,homo,75,10,0.4594404750834878,0.0260969812881696,0.0161750765813805,0.3299099167048457,0.0224995271914554,0.0139453514315705,0.5512161493301392,0.0556465130308557,0.0344900661046537,0.1551706492900847,0.0959050615538058,0.05944257299514,9997.0
attentivefp_mtl,homo,100,10,0.4661715935643107,0.0278036512646433,0.0172328815919976,0.3331562379487683,0.0252386500722593,0.0156430773820773,0.5195149540901184,0.0498890348698101,0.0309215441694077,0.1299763917922973,0.1044127930452564,0.0647157196050285,9997.0
attentivefp_mtl,homo,125,10,0.4532210810686688,0.0184993594369582,0.0114660217706839,0.3289027879438075,0.0167038567942856,0.0103531577031273,0.5699361383914947,0.0232891486022143,0.0144347638524283,0.1790396332740783,0.0667456512984641,0.0413693832748462,9997.0
attentivefp_mtl,homo,150,10,0.4590650645448851,0.0260143932235554,0.0161238879686022,0.3346370438872277,0.0250098769216757,0.0155012823143032,0.562881401181221,0.0388987313741416,0.0241096834897344,0.1565621078014373,0.0945279642807804,0.058589039262436,9997.0
