train_size,model_a,model_b,metric,t_stat,p_value,significant_005,target
50,gtca_depth_6,gtca_depth_2,RMSE,-1.9731480126878191,0.06916887309451143,False,homo
50,gtca_depth_6,gtca_depth_4,RMSE,-0.31921235137360343,0.7533581354929164,False,homo
75,gtca_depth_6,gtca_depth_2,RMSE,-4.074945174560527,0.0023997032092526295,True,homo
75,gtca_depth_6,gtca_depth_4,RMSE,-2.2193644446104073,0.05244810277747215,False,homo
100,gtca_depth_6,gtca_depth_2,RMSE,-1.8862352442054022,0.08091950240253162,False,homo
100,gtca_depth_6,gtca_depth_4,RMSE,-1.0342917828841451,0.3147004773388917,False,homo
125,gtca_depth_6,gtca_depth_2,RMSE,-3.356697282197619,0.0069353811813322635,True,homo
125,gtca_depth_6,gtca_depth_4,RMSE,-2.466849287928821,0.032404446161969615,True,homo
150,gtca_depth_6,gtca_depth_2,RMSE,-1.8783112731226932,0.07974343621452755,False,homo
150,gtca_depth_6,gtca_depth_4,RMSE,-3.3010594174035166,0.004036065207336162,True,homo
175,gtca_depth_6,gtca_depth_2,RMSE,-2.934519859136197,0.00909857252660337,True,homo
175,gtca_depth_6,gtca_depth_4,RMSE,-0.8495666551232768,0.4067249377620759,False,homo
200,gtca_depth_6,gtca_depth_2,RMSE,-3.6929804899904837,0.0025749355139492555,True,homo
200,gtca_depth_6,gtca_depth_4,RMSE,-2.8781860748400763,0.011861854585853763,True,homo
225,gtca_depth_6,gtca_depth_2,RMSE,-2.2050748521778645,0.04178476425070756,True,homo
225,gtca_depth_6,gtca_depth_4,RMSE,-1.3220221589475931,0.2032632011693291,False,homo
250,gtca_depth_6,gtca_depth_2,RMSE,-1.3536925603136192,0.19684425092580302,False,homo
250,gtca_depth_6,gtca_depth_4,RMSE,-0.33257010835948314,0.7434825748873426,False,homo
275,gtca_depth_6,gtca_depth_2,RMSE,-3.2146242039651653,0.009069361876701734,True,homo
275,gtca_depth_6,gtca_depth_4,RMSE,-1.5496829816000282,0.14307348470755232,False,homo
300,gtca_depth_6,gtca_depth_2,RMSE,-4.43528282139654,0.0013573972658884094,True,homo
300,gtca_depth_6,gtca_depth_4,RMSE,-0.8817673537393124,0.39588687059907973,False,homo
325,gtca_depth_6,gtca_depth_2,RMSE,-2.2650847689106532,0.038557693656737495,True,homo
325,gtca_depth_6,gtca_depth_4,RMSE,0.7403064478994096,0.46979653834761215,False,homo
350,gtca_depth_6,gtca_depth_2,RMSE,-4.30791144948825,0.0017243289777026797,True,homo
350,gtca_depth_6,gtca_depth_4,RMSE,-1.1631077057153485,0.2696977379386376,False,homo
375,gtca_depth_6,gtca_depth_2,RMSE,-1.7655298581499395,0.10355534771611409,False,homo
375,gtca_depth_6,gtca_depth_4,RMSE,0.47615038554477135,0.6397001655726237,False,homo
400,gtca_depth_6,gtca_depth_2,RMSE,-4.223643790367691,0.0017932158393129142,True,homo
400,gtca_depth_6,gtca_depth_4,RMSE,-0.09795163586048349,0.9230569535799833,False,homo
425,gtca_depth_6,gtca_depth_2,RMSE,-2.2994090433011034,0.04609826513960561,True,homo
425,gtca_depth_6,gtca_depth_4,RMSE,1.1394421411926454,0.27197601465097593,False,homo
450,gtca_depth_6,gtca_depth_2,RMSE,-1.2188438298516955,0.24403134084700534,False,homo
450,gtca_depth_6,gtca_depth_4,RMSE,0.7216241452287224,0.4809500244456676,False,homo
475,gtca_depth_6,gtca_depth_2,RMSE,-0.9067389608971992,0.3874073402817841,False,homo
475,gtca_depth_6,gtca_depth_4,RMSE,1.5093243661915134,0.14858796186009143,False,homo
500,gtca_depth_6,gtca_depth_2,RMSE,-0.5643725893991217,0.5847593336042587,False,homo
500,gtca_depth_6,gtca_depth_4,RMSE,-0.07027677941614346,0.944783791203976,False,homo
600,gtca_depth_6,gtca_depth_2,RMSE,0.6011183988051666,0.5863078651790989,False,homo
600,gtca_depth_6,gtca_depth_4,RMSE,0.23619166585637844,0.8319926540823804,False,homo
700,gtca_depth_6,gtca_depth_2,RMSE,-0.256438091773022,0.8184756605988037,False,homo
700,gtca_depth_6,gtca_depth_4,RMSE,1.7580218570677892,0.1610092925439303,False,homo
800,gtca_depth_6,gtca_depth_2,RMSE,4.135073834088612,0.043601186756342204,True,homo
800,gtca_depth_6,gtca_depth_4,RMSE,1.0927178416766974,0.37981879244071726,False,homo
900,gtca_depth_6,gtca_depth_2,RMSE,3.6462774397622364,0.021968215949831088,True,homo
900,gtca_depth_6,gtca_depth_4,RMSE,1.45613861290748,0.2254398601007126,False,homo
1000,gtca_depth_6,gtca_depth_2,RMSE,2.0983422266505394,0.1141343775612656,False,homo
1000,gtca_depth_6,gtca_depth_4,RMSE,0.18727504798413783,0.8609950025019527,False,homo
1500,gtca_depth_6,gtca_depth_2,RMSE,3.946784114099756,0.033924149738305126,True,homo
1500,gtca_depth_6,gtca_depth_4,RMSE,1.4161972249952703,0.2297994642919753,False,homo
2000,gtca_depth_6,gtca_depth_2,RMSE,4.1771993658573345,0.04532790063839701,True,homo
2000,gtca_depth_6,gtca_depth_4,RMSE,-0.026090644423882977,0.9804773038093945,False,homo
2500,gtca_depth_6,gtca_depth_2,RMSE,3.8537447279153976,0.028209998002133394,True,homo
2500,gtca_depth_6,gtca_depth_4,RMSE,0.8574580976305769,0.45223178117686036,False,homo
3000,gtca_depth_6,gtca_depth_2,RMSE,2.2314504651252927,0.12192484134484,False,homo
3000,gtca_depth_6,gtca_depth_4,RMSE,1.1727718089930776,0.35033098858313433,False,homo
50,gtca_depth_6,gtca_depth_2,MAE,-1.9511850608792358,0.07236839482060327,False,homo
50,gtca_depth_6,gtca_depth_4,MAE,-0.3028225809703806,0.7657060127794947,False,homo
75,gtca_depth_6,gtca_depth_2,MAE,-4.359732280164445,0.0015088162188856748,True,homo
75,gtca_depth_6,gtca_depth_4,MAE,-2.195728169921589,0.054474334332371664,False,homo
100,gtca_depth_6,gtca_depth_2,MAE,-1.727256207217454,0.10500452392853749,False,homo
100,gtca_depth_6,gtca_depth_4,MAE,-1.0315449469316331,0.31596919456050115,False,homo
125,gtca_depth_6,gtca_depth_2,MAE,-3.8457821683858735,0.0031676688749927152,True,homo
125,gtca_depth_6,gtca_depth_4,MAE,-2.888936708563772,0.01589288094942319,True,homo
150,gtca_depth_6,gtca_depth_2,MAE,-2.038555540733527,0.05917049640061566,False,homo
150,gtca_depth_6,gtca_depth_4,MAE,-3.1683846709430146,0.005527469362293576,True,homo
175,gtca_depth_6,gtca_depth_2,MAE,-3.038601524390438,0.007131029982277954,True,homo
175,gtca_depth_6,gtca_depth_4,MAE,-1.0659083431160326,0.30061218556246083,False,homo
200,gtca_depth_6,gtca_depth_2,MAE,-3.7508208868652724,0.0024181265957601474,True,homo
200,gtca_depth_6,gtca_depth_4,MAE,-3.256628080770734,0.005248648892097962,True,homo
225,gtca_depth_6,gtca_depth_2,MAE,-2.624839724330428,0.018246471138768323,True,homo
225,gtca_depth_6,gtca_depth_4,MAE,-1.491195545073943,0.153555364171763,False,homo
250,gtca_depth_6,gtca_depth_2,MAE,-1.3788031573637418,0.1900850345432744,False,homo
250,gtca_depth_6,gtca_depth_4,MAE,-0.26728193767900865,0.792408959037938,False,homo
275,gtca_depth_6,gtca_depth_2,MAE,-3.2513279766034997,0.00815915625726508,True,homo
275,gtca_depth_6,gtca_depth_4,MAE,-1.7672863270486356,0.09687909701069476,False,homo
300,gtca_depth_6,gtca_depth_2,MAE,-4.132232548846908,0.0019487534834327874,True,homo
300,gtca_depth_6,gtca_depth_4,MAE,-0.9243732709019944,0.3716095239814227,False,homo
325,gtca_depth_6,gtca_depth_2,MAE,-2.0999327465636886,0.05275319006593284,False,homo
325,gtca_depth_6,gtca_depth_4,MAE,0.7593904096188555,0.459576983232787,False,homo
350,gtca_depth_6,gtca_depth_2,MAE,-3.7777376771684277,0.0036328791799381628,True,homo
350,gtca_depth_6,gtca_depth_4,MAE,-0.9016092104317354,0.3828706831464734,False,homo
375,gtca_depth_6,gtca_depth_2,MAE,-1.8267734303269092,0.0905286115800363,False,homo
375,gtca_depth_6,gtca_depth_4,MAE,0.060060247823787626,0.9527835226534648,False,homo
400,gtca_depth_6,gtca_depth_2,MAE,-4.164858114277925,0.001571382864141829,True,homo
400,gtca_depth_6,gtca_depth_4,MAE,-0.6420515702477572,0.5290686803874505,False,homo
425,gtca_depth_6,gtca_depth_2,MAE,-2.3901959504124086,0.03813538084306886,True,homo
425,gtca_depth_6,gtca_depth_4,MAE,0.311508832134733,0.7593705342044279,False,homo
450,gtca_depth_6,gtca_depth_2,MAE,-1.0537000306732365,0.3061553123667987,False,homo
450,gtca_depth_6,gtca_depth_4,MAE,0.3691272451364613,0.7173095979453555,False,homo
475,gtca_depth_6,gtca_depth_2,MAE,-0.7114662137388826,0.4936567659478266,False,homo
475,gtca_depth_6,gtca_depth_4,MAE,0.9692577427981267,0.34534093152390904,False,homo
500,gtca_depth_6,gtca_depth_2,MAE,-0.43557443171332144,0.6717991768136655,False,homo
500,gtca_depth_6,gtca_depth_4,MAE,-0.4340591808440986,0.6695729794953922,False,homo
600,gtca_depth_6,gtca_depth_2,MAE,0.5805260936764268,0.5975856894529957,False,homo
600,gtca_depth_6,gtca_depth_4,MAE,0.3061435856039641,0.7846491720797005,False,homo
700,gtca_depth_6,gtca_depth_2,MAE,-0.19406092416734072,0.8600167401744087,False,homo
700,gtca_depth_6,gtca_depth_4,MAE,1.5533810129312629,0.2120265876426439,False,homo
800,gtca_depth_6,gtca_depth_2,MAE,3.3492019637269412,0.041399821930375426,True,homo
800,gtca_depth_6,gtca_depth_4,MAE,1.3707237521616005,0.25217536513147715,False,homo
900,gtca_depth_6,gtca_depth_2,MAE,3.860179591593791,0.018335614767604317,True,homo
900,gtca_depth_6,gtca_depth_4,MAE,1.723184973158378,0.16731033031840706,False,homo
1000,gtca_depth_6,gtca_depth_2,MAE,2.3670656037843854,0.07707106184702399,False,homo
1000,gtca_depth_6,gtca_depth_4,MAE,-0.22818636278410662,0.8344488020373751,False,homo
1500,gtca_depth_6,gtca_depth_2,MAE,5.198654247579401,0.008353316683453578,True,homo
1500,gtca_depth_6,gtca_depth_4,MAE,1.9081191447287824,0.13152157577049386,False,homo
2000,gtca_depth_6,gtca_depth_2,MAE,4.8227163172806655,0.021798366480133398,True,homo
2000,gtca_depth_6,gtca_depth_4,MAE,-0.13546373199996842,0.8999397593622467,False,homo
2500,gtca_depth_6,gtca_depth_2,MAE,3.6308326547634575,0.039245064028920584,True,homo
2500,gtca_depth_6,gtca_depth_4,MAE,1.0987887118456487,0.3503939291487119,False,homo
3000,gtca_depth_6,gtca_depth_2,MAE,2.130597181680373,0.13940243753929285,False,homo
3000,gtca_depth_6,gtca_depth_4,MAE,1.146159421606078,0.3498723809241719,False,homo
50,gtca_depth_6,gtca_depth_2,RMSE,-0.30346130020763945,0.7651205128868782,False,lumo
50,gtca_depth_6,gtca_depth_4,RMSE,-2.097768187794283,0.0538234908793244,False,lumo
75,gtca_depth_6,gtca_depth_2,RMSE,0.13969135824742532,0.8904590141748912,False,lumo
75,gtca_depth_6,gtca_depth_4,RMSE,-2.133898347654039,0.04713526338936279,True,lumo
100,gtca_depth_6,gtca_depth_2,RMSE,2.298309962583363,0.034056281907292575,True,lumo
100,gtca_depth_6,gtca_depth_4,RMSE,-1.1377091641215233,0.27023814672295576,False,lumo
125,gtca_depth_6,gtca_depth_2,RMSE,-3.0945119030962913,0.00855442840070948,True,lumo
125,gtca_depth_6,gtca_depth_4,RMSE,-2.212052374459489,0.04033399487413378,True,lumo
150,gtca_depth_6,gtca_depth_2,RMSE,-5.903833613122733,1.446268859828954e-05,True,lumo
150,gtca_depth_6,gtca_depth_4,RMSE,-1.970928322065011,0.06545319978763418,False,lumo
175,gtca_depth_6,gtca_depth_2,RMSE,-5.9662926140615395,6.02369146252274e-05,True,lumo
175,gtca_depth_6,gtca_depth_4,RMSE,-1.9228264680660645,0.07327619768972321,False,lumo
200,gtca_depth_6,gtca_depth_2,RMSE,-9.372203748398945,7.88000836388567e-08,True,lumo
200,gtca_depth_6,gtca_depth_4,RMSE,-4.088813008726992,0.0007393426798772253,True,lumo
225,gtca_depth_6,gtca_depth_2,RMSE,-5.8324995951674055,3.531476600117049e-05,True,lumo
225,gtca_depth_6,gtca_depth_4,RMSE,-2.5001340786463864,0.022434868410765994,True,lumo
250,gtca_depth_6,gtca_depth_2,RMSE,-15.103148237186959,1.1870989828342649e-11,True,lumo
250,gtca_depth_6,gtca_depth_4,RMSE,-6.598159587843669,9.865807346247842e-06,True,lumo
275,gtca_depth_6,gtca_depth_2,RMSE,-7.533241861801974,1.6732447477541756e-06,True,lumo
275,gtca_depth_6,gtca_depth_4,RMSE,-5.00328695879575,0.00012059244721161794,True,lumo
300,gtca_depth_6,gtca_depth_2,RMSE,-7.808907178853971,3.556548927521811e-07,True,lumo
300,gtca_depth_6,gtca_depth_4,RMSE,-5.40416855352826,3.904496547581028e-05,True,lumo
325,gtca_depth_6,gtca_depth_2,RMSE,-11.967717538875082,7.03608142109841e-10,True,lumo
325,gtca_depth_6,gtca_depth_4,RMSE,-2.7268466809666765,0.01846250238902125,True,lumo
350,gtca_depth_6,gtca_depth_2,RMSE,-11.517994004134012,5.368357273742146e-09,True,lumo
350,gtca_depth_6,gtca_depth_4,RMSE,-3.9888555027081254,0.0017750841721997155,True,lumo
375,gtca_depth_6,gtca_depth_2,RMSE,-6.618906006461892,3.3270275054486795e-06,True,lumo
375,gtca_depth_6,gtca_depth_4,RMSE,-3.116417089487356,0.006147690316405532,True,lumo
400,gtca_depth_6,gtca_depth_2,RMSE,-8.347138684450451,3.148575116628747e-07,True,lumo
400,gtca_depth_6,gtca_depth_4,RMSE,-3.4297495281016364,0.0036759258452501256,True,lumo
425,gtca_depth_6,gtca_depth_2,RMSE,-10.318709358466219,5.582151946719668e-09,True,lumo
425,gtca_depth_6,gtca_depth_4,RMSE,-2.3465502357118226,0.033464438559720304,True,lumo
450,gtca_depth_6,gtca_depth_2,RMSE,-5.893341658452168,1.4594886207045267e-05,True,lumo
450,gtca_depth_6,gtca_depth_4,RMSE,-1.3543187071468765,0.19267838808631532,False,lumo
475,gtca_depth_6,gtca_depth_2,RMSE,-5.8604110100851505,1.827597965045527e-05,True,lumo
475,gtca_depth_6,gtca_depth_4,RMSE,-1.6551703031934397,0.11728020068041749,False,lumo
500,gtca_depth_6,gtca_depth_2,RMSE,-7.31968323718819,9.367993986666119e-07,True,lumo
500,gtca_depth_6,gtca_depth_4,RMSE,-2.4871396004171435,0.022912039528249224,True,lumo
600,gtca_depth_6,gtca_depth_2,RMSE,-6.450115399882679,0.01655433326500224,True,lumo
600,gtca_depth_6,gtca_depth_4,RMSE,-0.6406965983478622,0.5721310480320729,False,lumo
700,gtca_depth_6,gtca_depth_2,RMSE,-3.5796422695445345,0.04022232215787643,True,lumo
700,gtca_depth_6,gtca_depth_4,RMSE,-0.6974403095586922,0.5350358106599489,False,lumo
800,gtca_depth_6,gtca_depth_2,RMSE,-10.634387610959212,0.001457569607233653,True,lumo
800,gtca_depth_6,gtca_depth_4,RMSE,-6.536766441313668,0.0033343605087596735,True,lumo
900,gtca_depth_6,gtca_depth_2,RMSE,-5.276602046501981,0.030246988662073215,True,lumo
900,gtca_depth_6,gtca_depth_4,RMSE,-1.9123830458036446,0.1925368271862426,False,lumo
1000,gtca_depth_6,gtca_depth_2,RMSE,-10.832785864542926,0.006880328888118015,True,lumo
1000,gtca_depth_6,gtca_depth_4,RMSE,-2.0505032892624944,0.12449160295953518,False,lumo
1500,gtca_depth_6,gtca_depth_2,RMSE,-2.880752134650998,0.06846285033119548,False,lumo
1500,gtca_depth_6,gtca_depth_4,RMSE,-0.8118814334788308,0.46746718286173655,False,lumo
2000,gtca_depth_6,gtca_depth_2,RMSE,-10.450931094335402,0.0014490129038518325,True,lumo
2000,gtca_depth_6,gtca_depth_4,RMSE,-1.828593575244055,0.16487793568993003,False,lumo
2500,gtca_depth_6,gtca_depth_2,RMSE,-6.083445915660248,0.006723062443427938,True,lumo
2500,gtca_depth_6,gtca_depth_4,RMSE,-1.053108031786209,0.3795107240950765,False,lumo
